review,sentiment
"One reviewers mentioned watching 1 Oz episode ' hooked. right , exactly happened me.<br / ><br / >The first thing struck Oz brutality unflinching scenes violence , set right word GO. Trust , show faint hearted timid. show pulls punches regards drugs , sex violence. hardcore , classic use word.<br / ><br / >It called OZ nickname given Oswald Maximum Security State Penitentary. focuses mainly Emerald City , experimental section prison cells glass fronts face inwards , privacy high agenda. Em City home many .. Aryans , Muslims , gangstas , Latinos , Christians , Italians , Irish .... scuffles , death stares , dodgy dealings shady agreements never far away.<br / ><br / >I would say main appeal show due fact goes shows ' dare. Forget pretty pictures painted mainstream audiences , forget charm , forget romance ... OZ ' mess around. first episode ever saw struck nasty surreal , ' say ready , watched , developed taste Oz , got accustomed high levels graphic violence. violence , injustice ( crooked guards ' sold nickel , inmates ' kill order get away , well mannered , middle class inmates turned prison bitches due lack street skills prison experience ) Watching Oz , may become comfortable uncomfortable viewing .... thats get touch darker side .",positive
"wonderful little production. <br / ><br / >The filming technique unassuming- old-time-BBC fashion gives comforting , sometimes discomforting , sense realism entire piece. <br / ><br / >The actors extremely well chosen- Michael Sheen "" got polari "" voices pat ! truly see seamless editing guided references Williams ' diary entries , well worth watching terrificly written performed piece. masterful production one great master ' comedy life. <br / ><br / >The realism really comes home little things : fantasy guard , rather use traditional ' dream ' techniques remains solid disappears. plays knowledge senses , particularly scenes concerning Orton Halliwell sets ( particularly flat Halliwell ' murals decorating every surface ) terribly well done .",positive
"thought wonderful way spend time hot summer weekend , sitting air conditioned theater watching light-hearted comedy. plot simplistic , dialogue witty characters likable ( even well bread suspected serial killer ) . may disappointed realize Match Point 2 : Risk Addiction , thought proof Woody Allen still fully control style many us grown love.<br / ><br / >This ' laughed one Woody ' comedies years ( dare say decade ? ) . ' never impressed Scarlet Johanson , managed tone "" sexy "" image jumped right average , spirited young woman.<br / ><br / >This may crown jewel career , wittier "" Devil Wears Prada "" interesting "" Superman "" great comedy go see friends .",positive
"Basically ' family little boy ( Jake ) thinks ' zombie closet &amp; parents fighting time.<br / ><br / >This movie slower soap opera ... suddenly , Jake decides become Rambo kill zombie.<br / ><br / >OK , first ' going make film must Decide thriller drama ! drama movie watchable. Parents divorcing &amp; arguing like real life. Jake closet totally ruins film ! expected see BOOGEYMAN similar movie , instead watched drama meaningless thriller spots.<br / ><br / >3 10 well playing parents &amp; descent dialogs. shots Jake : ignore .",negative
"Petter Mattei ' "" Love Time Money "" visually stunning film watch. Mr. Mattei offers us vivid portrait human relations. movie seems telling us money , power success people different situations encounter. <br / ><br / >This variation Arthur Schnitzler ' play theme , director transfers action present time New York different characters meet connect. one connected one way , another next person , one seems know previous point contact. Stylishly , film sophisticated luxurious look. taken see people live world live habitat.<br / ><br / >The thing one gets souls picture different stages loneliness one inhabits. big city exactly best place human relations find sincere fulfillment , one discerns case people encounter.<br / ><br / >The acting good Mr. Mattei ' direction. Steve Buscemi , Rosario Dawson , Carol Kane , Michael Imperioli , Adrian Grenier , rest talented cast , make characters come alive.<br / ><br / >We wish Mr. Mattei good luck await anxiously next work .",positive
"Probably all-time favorite movie , story selflessness , sacrifice dedication noble cause , ' preachy boring. never gets old , despite seen 15 times last 25 years. Paul Lukas ' performance brings tears eyes , Bette Davis , one truly sympathetic roles , delight. kids , grandma says , like "" dressed-up midgets "" children , makes fun watch. mother ' slow awakening ' happening world roof believable startling. dozen thumbs , ' "" "" movie .",positive
"sure would like see resurrection dated Seahunt series tech today would bring back kid excitement me.I grew black white TV Seahunt Gunsmoke hero ' every week.You vote comeback new sea hunt.We need change pace TV would work world water adventure.Oh way thank outlet like view many viewpoints TV many movies.So ole way believe ' got wanna say.Would nice read plus points sea hunt.If rhymes would 10 lines would let submit , leave doubt quit , must go lets .",positive
"show amazing , fresh &amp; innovative idea 70 ' first aired. first 7 8 years brilliant , things dropped that. 1990 , show really funny anymore , ' continued decline complete waste time today.<br / ><br / >It ' truly disgraceful far show fallen. writing painfully bad , performances almost bad - mildly entertaining respite guest-hosts , show probably ' still air. find hard believe creator hand-selected original cast also chose band hacks followed. one recognize brilliance see fit replace mediocrity ? felt must give 2 stars respect original cast made show huge success. , show awful. ' believe ' still air .",negative
"Encouraged positive comments film looking forward watching film. Bad mistake. ' seen 950+ films truly one worst - ' awful almost every way : editing , pacing , storyline , ' acting , ' soundtrack ( film ' song - lame country tune - played less four times ) . film looks cheap nasty boring extreme. Rarely happy see end credits film. <br / ><br / >The thing prevents giving 1-score Harvey Keitel - far best performance least seems making bit effort. One Keitel obsessives .",negative
"like original gut wrenching laughter like movie. young old love movie , hell even mom liked it.<br / ><br / >Great Camp ! ! !",positive
"Phil Alien one quirky films humour based around oddness everything rather actual punchlines.<br / ><br / >At first odd pretty funny movie progressed ' find jokes oddness funny anymore.<br / ><br / >Its low budget film ( thats never problem ) , pretty interesting characters , eventually lost interest.<br / ><br / >I imagine film would appeal stoner currently partaking.<br / ><br / >For something similar better try "" Brother another planet """,negative
"saw movie 12 came out. recall scariest scene big bird eating men dangling helplessly parachutes right air. horror. horror.<br / ><br / >As young kid going cheesy B films Saturday afternoons , still tired formula monster type movies usually included hero , beautiful woman might daughter professor happy resolution monster died end. ' care much romantic angle 12 year old predictable plots. love unintentional humor.<br / ><br / >But , year later , saw Psycho came loved star , Janet Leigh , bumped early film. sat took notice point. Since screenwriters making story , make scary possible well-worn formula. rules .",negative
