review,sentiment
"One reviewer mentioned watching 1 Oz episode ' hooked. right , exactly happened me.<br / ><br / >The first thing struck Oz brutality unflinching scene violence , set right word GO. Trust , show faint hearted timid. show pull punch regard drug , sex violence. hardcore , classic use word.<br / ><br / >It called OZ nickname given Oswald Maximum Security State Penitentary. focus mainly Emerald City , experimental section prison cell glass front face inwards , privacy high agenda. Em City home many .. Aryans , Muslims , gangsta , Latinos , Christians , Italians , Irish .... scuffle , death stare , dodgy dealing shady agreement never far away.<br / ><br / >I would say main appeal show due fact go show ' dare. Forget pretty picture painted mainstream audience , forget charm , forget romance ... OZ ' mess around. first episode ever saw struck nasty surreal , ' say ready , watched , developed taste Oz , got accustomed high level graphic violence. violence , injustice ( crooked guard ' sold nickel , inmate ' kill order get away , well mannered , middle class inmate turned prison bitch due lack street skill prison experience ) Watching Oz , may become comfortable uncomfortable viewing .... thats get touch darker side .",positive
"wonderful little production. <br / ><br / >The filming technique unassuming- old-time-BBC fashion give comforting , sometimes discomforting , sense realism entire piece. <br / ><br / >The actor extremely well chosen- Michael Sheen "" got polari "" voice pat ! truly see seamless editing guided reference Williams ' diary entry , well worth watching terrificly written performed piece. masterful production one great master ' comedy life. <br / ><br / >The realism really come home little thing : fantasy guard , rather use traditional ' dream ' technique remains solid disappears. play knowledge sens , particularly scene concerning Orton Halliwell set ( particularly flat Halliwell ' mural decorating every surface ) terribly well done .",positive
"thought wonderful way spend time hot summer weekend , sitting air conditioned theater watching light-hearted comedy. plot simplistic , dialogue witty character likable ( even well bread suspected serial killer ) . may disappointed realize Match Point 2 : Risk Addiction , thought proof Woody Allen still fully control style many u grown love.<br / ><br / >This ' laughed one Woody ' comedy year ( dare say decade ? ) . ' never impressed Scarlet Johanson , managed tone "" sexy "" image jumped right average , spirited young woman.<br / ><br / >This may crown jewel career , wittier "" Devil Wears Prada "" interesting "" Superman "" great comedy go see friend .",positive
"Basically ' family little boy ( Jake ) think ' zombie closet &amp; parent fighting time.<br / ><br / >This movie slower soap opera ... suddenly , Jake decides become Rambo kill zombie.<br / ><br / >OK , first ' going make film must Decide thriller drama ! drama movie watchable. Parents divorcing &amp; arguing like real life. Jake closet totally ruin film ! expected see BOOGEYMAN similar movie , instead watched drama meaningless thriller spots.<br / ><br / >3 10 well playing parent &amp; descent dialogs. shot Jake : ignore .",negative
"Petter Mattei ' "" Love Time Money "" visually stunning film watch. Mr. Mattei offer u vivid portrait human relations. movie seems telling u money , power success people different situation encounter. <br / ><br / >This variation Arthur Schnitzler ' play theme , director transfer action present time New York different character meet connect. one connected one way , another next person , one seems know previous point contact. Stylishly , film sophisticated luxurious look. taken see people live world live habitat.<br / ><br / >The thing one get soul picture different stage loneliness one inhabits. big city exactly best place human relation find sincere fulfillment , one discerns case people encounter.<br / ><br / >The acting good Mr. Mattei ' direction. Steve Buscemi , Rosario Dawson , Carol Kane , Michael Imperioli , Adrian Grenier , rest talented cast , make character come alive.<br / ><br / >We wish Mr. Mattei good luck await anxiously next work .",positive
"Probably all-time favorite movie , story selflessness , sacrifice dedication noble cause , ' preachy boring. never get old , despite seen 15 time last 25 years. Paul Lukas ' performance brings tear eye , Bette Davis , one truly sympathetic role , delight. kid , grandma say , like "" dressed-up midget "" child , make fun watch. mother ' slow awakening ' happening world roof believable startling. dozen thumb , ' "" "" movie .",positive
"sure would like see resurrection dated Seahunt series tech today would bring back kid excitement me.I grew black white TV Seahunt Gunsmoke hero ' every week.You vote comeback new sea hunt.We need change pace TV would work world water adventure.Oh way thank outlet like view many viewpoint TV many movies.So ole way believe ' got wanna say.Would nice read plus point sea hunt.If rhyme would 10 line would let submit , leave doubt quit , must go let .",positive
"show amazing , fresh &amp; innovative idea 70 ' first aired. first 7 8 year brilliant , thing dropped that. 1990 , show really funny anymore , ' continued decline complete waste time today.<br / ><br / >It ' truly disgraceful far show fallen. writing painfully bad , performance almost bad - mildly entertaining respite guest-hosts , show probably ' still air. find hard believe creator hand-selected original cast also chose band hack followed. one recognize brilliance see fit replace mediocrity ? felt must give 2 star respect original cast made show huge success. , show awful. ' believe ' still air .",negative
"Encouraged positive comment film looking forward watching film. Bad mistake. ' seen 950+ film truly one worst - ' awful almost every way : editing , pacing , storyline , ' acting , ' soundtrack ( film ' song - lame country tune - played le four time ) . film look cheap nasty boring extreme. Rarely happy see end credit film. <br / ><br / >The thing prevents giving 1-score Harvey Keitel - far best performance least seems making bit effort. One Keitel obsessive .",negative
"like original gut wrenching laughter like movie. young old love movie , hell even mom liked it.<br / ><br / >Great Camp ! ! !",positive
